nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm9574347	Victor Kolyszko	\N	\N	actor	tt2751064,tt15133186,tt7078070
nm7695752	Dal Pelate	\N	\N	\N	\N
nm0061594	Zofia Batycka	1907	1989	actress	tt0022601,tt0949549,tt1035457,tt0924255
nm14973008	Yoga Mahendra	\N	\N	actor	tt13830390
nm4540868	Floyd Raymer	\N	\N	visual_effects	tt1300854,tt1646987,tt0472181,tt15318872
nm14469697	Ramiro Herrera Jr.	\N	\N	\N	\N
nm10561849	Khary Masai	\N	\N	actor	tt9346832
nm3849620	Rachel Lightfoot	\N	\N	actress	tt1621639
nm12304353	Ollie Robinson	\N	\N	actor	tt5827228
nm2918380	Jason Adams	\N	\N	miscellaneous	tt0448134
nm2573633	Fabrizio Eva	\N	\N	\N	tt0974618
nm4846502	Claudia Mendanha	\N	\N	miscellaneous,producer	tt2766558,tt20116044,tt4990582,tt4990642
nm13612116	Mingming Wang	\N	\N	actress	tt19855888
nm4824156	Sophia Lazlo	\N	\N	animation_department	tt0108684
nm0780272	Frank Scully	1892	1964	writer	tt0056461,tt0042102
nm4812322	Michael C. Burgess	1956	\N	actor,location_management,producer	tt9451428,tt4062756,tt6074542,tt4565954
nm7582408	Tylor Block	\N	\N	camera_department,editor,script_department	tt27707307,tt27709072,tt5535752,tt5962814
nm12999334	Paola Simonetto	\N	\N	producer	tt15555588
nm11937961	Bruce Anderson	\N	\N	\N	tt13185402
nm4193590	Henriette Walter	\N	\N	actress	tt5882434,tt12091112,tt0872041,tt0196277
nm9020921	Jayne Stevens	\N	\N	actress	tt0212697,tt0307841
nm3629244	Jim Taggart	\N	\N	\N	\N
nm10731234	Parker Nelson	\N	\N	\N	\N
nm1641225	Flower Hugiz	\N	\N	actress	\N
nm1937620	Sean Arnold	\N	\N	miscellaneous	tt0145734
nm16065905	Jokes	\N	\N	\N	\N
nm14540528	Josiah William Gordon	\N	\N	writer	tt26660538
nm4319709	Dwight W. Jaynes	\N	\N	actor	tt1780441
nm6347940	Mark Anthony Escobañez	\N	\N	actor	tt3588478
nm11760600	Justin Kuhn	\N	\N	cinematographer	tt12762798,tt21152420
nm5341968	Natasha Santana	\N	\N	miscellaneous,editorial_department,producer	tt3417654,tt7293380,tt5269624,tt10222752
nm12045001	Patrycja Rebech	\N	\N	actress	tt13415620
nm4184734	Ashley Applebaum	\N	\N	miscellaneous	tt1671617
nm0438207	Brandon Kaplan	\N	\N	actor	tt0120029,tt0367345,tt0098904,tt0178165
nm4446270	Gunter Erhart	\N	\N	miscellaneous	tt1842544
nm15227879	Sylvie Raque	\N	\N	producer	tt11974810
nm14158902	Conor O'Brien	\N	\N	\N	\N
nm12884816	Douglas London	\N	\N	\N	tt21100682,tt0247880,tt1259254
nm5578785	James McDonald	\N	\N	actor	tt2782200,tt4815912,tt6032114
nm5574561	Master Prathama	\N	\N	actor	tt2777740
nm3304240	Pavel Prokopic	\N	\N	director,writer,editor	tt3139158,tt2474500,tt1366351,tt2091298
nm13499127	Harry Wright	\N	\N	\N	tt16156656
nm2455010	Pere Comellas	\N	\N	\N	tt0881111,tt20672570
nm4317643	Marcelo Miranda	\N	\N	director,actor,cinematographer	tt2920704,tt1874561,tt1330048,tt4694778
nm7359083	Eran Gloss	\N	\N	sound_department	tt4690080
nm1549485	Philip W. Hallford	\N	\N	camera_department,miscellaneous	tt0266489,tt1844624,tt0402743,tt5171438
nm0921087	Bob Wenokur	\N	\N	editorial_department,production_manager	tt0402910,tt0963194,tt0489270,tt1233227
nm3085092	Ramin Ray Ouladi	1985	\N	editorial_department,producer,director	tt2015381,tt0478970,tt3201640,tt1211837
nm3328314	Zsolt Horváth	\N	\N	composer	tt0782057
nm11866254	Éric Fournier	\N	\N	writer	tt6982438,tt9099726,tt12916228
nm16232829	Weatherly Giblin	\N	\N	actress,costume_department	tt32544258
nm2997146	Teena Welch	\N	\N	art_department	tt0100814
nm15814307	Andrijana Simic	\N	\N	\N	\N
nm6756873	Lucas Nasciano	\N	\N	\N	tt3185588
