tconst	parentTconst	seasonNumber	episodeNumber
tt18040804	tt14825506	\N	\N
tt18079632	tt15185844	\N	\N
tt18082564	tt17052148	1	4
tt18096582	tt9153270	5	6
tt1811803	tt0241098	\N	\N
tt1822857	tt1806478	1	24
tt18229976	tt2113273	1	1193
tt18252676	tt11827352	\N	\N
tt1826257	tt0776747	4	9
tt18277220	tt18246948	1	137
tt18285924	tt5531360	\N	\N
tt18291080	tt17519494	1	16
tt18328124	tt9010994	\N	\N
tt18336736	tt2235082	1	6410
tt18339386	tt14547620	2	4
tt18351884	tt14844208	2	63
tt18363308	tt0380086	\N	\N
tt18378356	tt18548812	\N	\N
tt18443746	tt13976668	\N	\N
tt1850316	tt0824262	2	8
tt18544070	tt0402706	1	595
tt18564002	tt4911710	1	589
tt18571550	tt4979824	\N	\N
tt1866364	tt1863524	2	4
tt1866433	tt1856938	4	27
tt18749408	tt0136668	\N	\N
tt18750628	tt2093350	3	63
tt18751994	tt18135286	1	16
tt1875931	tt1266997	\N	\N
tt1877990	tt1868207	4	21
tt1889975	tt0088554	1	426
tt18925352	tt1013861	8	88
tt18948370	tt18884246	1	1
tt18949080	tt18559740	1	262
tt18950428	tt18554528	1	3
tt1898029	tt0375248	\N	\N
tt19037352	tt15409342	6	83
tt19043092	tt18989310	1	57
tt19043582	tt0329829	13	21
tt1906188	tt0149534	16	171
tt1908005	tt1462208	\N	\N
tt1913945	tt0259158	2	35
tt1915722	tt0219434	\N	\N
tt1919717	tt0373547	\N	\N
tt19266714	tt9785360	1	62
tt19352018	tt16807048	3	32
tt19355408	tt17048656	1	1
tt19357638	tt15730818	1	26
tt19362570	tt0315719	20	49
tt19382592	tt11465472	\N	\N
tt19400822	tt10810348	1	5
tt19400828	tt0344642	1	7507
tt1946842	tt1688211	1	172
tt19514918	tt15790700	\N	\N
tt1952079	tt1038927	\N	\N
tt1953389	tt1933249	1	1
tt1960677	tt0088580	1	2599
tt1961910	tt0470001	\N	\N
tt19632890	tt13080428	1	63
tt19638270	tt15398834	\N	\N
tt19671026	tt15742642	1	64
tt1969764	tt1722611	2	8
tt19716138	tt14609502	1	6
tt19723750	tt0344642	1	8143
tt19727142	tt0932859	1	76
tt19849384	tt19838650	1	9
tt19861232	tt19859254	3	3
tt19867632	tt14296844	1	81
tt1991720	tt1802698	1	6
tt2000737	tt0447736	\N	\N
tt20011016	tt19263906	1	319
tt2004995	tt1780595	1	52
tt20119594	tt13858680	2	7
tt20157404	tt2364308	1	5179
tt2017421	tt0072584	7	23
tt2021354	tt0395043	\N	\N
tt20214664	tt8885726	5	4
tt20224826	tt11274898	\N	\N
tt20227754	tt18272856	1	157
tt20257892	tt9165512	4	8
tt2029591	tt0395043	\N	\N
tt2039229	tt0372101	\N	\N
tt20412454	tt9169598	7	1
tt20421738	tt13545492	1	319
tt20427398	tt14162842	1	687
tt20446680	tt11680710	\N	\N
tt2046610	tt0444746	\N	\N
tt2047063	tt1870086	\N	\N
tt2048356	tt1177564	\N	\N
tt20503428	tt18305720	1	163
tt2052611	tt0447759	\N	\N
tt20596850	tt0048907	9	173
tt20598470	tt17065486	1	50
tt20601916	tt15532826	\N	\N
tt20633354	tt10293798	4	9
tt2067187	tt0813638	\N	\N
tt2068945	tt0400051	1	26
tt20720580	tt12408328	1	4
tt20750798	tt20564220	1	6
tt20781684	tt0175383	1	10164
tt2078228	tt0790508	\N	\N
tt20835126	tt10631792	2	5
tt20852584	tt18095642	1	1
tt20854606	tt19365988	\N	\N
tt20868748	tt0401937	1	1121
tt20878230	tt14603536	\N	\N
tt20880494	tt2190581	\N	\N
tt2088586	tt0315727	16	42
tt20912636	tt20871524	7	3
tt2097722	tt1974895	1	29
tt2107945	tt0837293	\N	\N
tt21081790	tt6518878	13	105
tt21082232	tt14157366	1	845
tt21108516	tt9044932	1	1139
tt21113106	tt19818550	1	44
tt21148366	tt15404764	1	8
tt21154128	tt21149774	1	6
tt21155786	tt16493196	1	85
tt21156940	tt3612488	7	163
tt21206348	tt1416611	1	269
tt21211192	tt14811706	2	8
tt21211984	tt15138496	1	291
tt21214178	tt10006504	1	89
tt21231460	tt2360934	1	137
tt21251428	tt0375446	1	5327
tt21267874	tt8320522	2	4
tt21270218	tt0880583	1	353
tt21287202	tt12164342	6	100
tt21308414	tt3695158	9	143
tt2134382	tt0429316	1	4
tt21355086	tt0264299	1	13
tt21358068	tt6906970	\N	\N
tt2135936	tt0461447	\N	\N
tt21397918	tt18250578	1	3
tt21400872	tt0316977	22	22
tt21406280	tt0413598	5	43
tt21431948	tt5164596	1	463
tt21506568	tt0476038	\N	\N
tt21607864	tt0072506	\N	\N
tt21611692	tt0423713	14	218
tt21624714	tt21376674	1	50
tt21629672	tt12351364	1	532
tt21635238	tt14069590	3	4
tt2172251	tt1002838	6	11
tt21737208	tt15683428	2	5
tt21761094	tt21747100	2	154
tt2178281	tt1891062	\N	\N
tt21793158	tt15798526	1	117
tt21797430	tt21742516	1	88
tt21806184	tt14888568	1	113
tt2180974	tt0972534	6	6
tt2184444	tt2173020	1	4
tt2189591	tt1840725	\N	\N
tt2192482	tt0194597	2	57
tt21973170	tt5844326	1	61
tt21978492	tt7336640	1	62
tt22009470	tt12193724	1	595
tt2203305	tt1967315	3	2
tt22037752	tt0227974	2	44
tt2204072	tt1831504	2	3
tt2205434	tt1967111	4	85
tt22081052	tt13806314	1	46
tt2208917	tt2135512	1	7
tt2210788	tt2284003	1	10
tt22164564	tt6973396	1	45
tt22186718	tt12670990	1	14
tt2218839	tt0463397	\N	\N
tt2219336	tt0827947	\N	\N
tt22235576	tt0298683	1	193
tt2227518	tt0072584	10	102
tt22302756	tt12504214	2	15
tt2238440	tt1132615	4	157
tt22462554	tt0298683	1	648
tt22466196	tt11714912	6	0
tt22467608	tt11150912	2	8
tt22467728	tt0787880	\N	\N
tt2247755	tt0477526	6	8
tt22497084	tt22495312	\N	\N
tt22501420	tt9913862	7	95
tt22525594	tt1404332	13	17
tt2253761	tt0294205	\N	\N
tt2254518	tt0240291	39	114
tt2261406	tt0159881	11	223
tt2262813	tt1304774	\N	\N
tt2263415	tt1761611	1	126
tt22641338	tt12624544	2	1
tt2267008	tt1746642	\N	\N
tt2268910	tt0356286	\N	\N
tt2271562	tt2324587	1	6
tt2272693	tt1095213	\N	\N
tt22748872	tt22462452	\N	\N
tt22807738	tt6558110	6	240
tt22871826	tt22798268	1	5
tt2287766	tt0882233	\N	\N
tt22899710	tt0062595	1	856
tt22931568	tt1829919	4	125
tt2296056	tt0375400	\N	\N
tt2297781	tt1320219	9	39
tt2297995	tt1981471	\N	\N
tt22987066	tt22462426	\N	\N
tt22997874	tt12516338	1	3
tt23027482	tt19174300	1	196
tt23050246	tt21141738	1	6
tt23063284	tt13879990	1	533
tt23128970	tt5473842	\N	\N
tt2313031	tt0181269	25	13
tt23130670	tt10873804	1	86
tt2313740	tt2273554	1	6
tt2314625	tt2034403	1	105
tt23185570	tt0310417	1	125
tt2319165	tt0096654	1	2
tt2320189	tt1922836	2	1
tt2333762	tt1988486	7	5
tt2336015	tt0068120	\N	\N
tt2343632	tt0121953	1	3
tt23458694	tt17221014	1	7
tt2350300	tt0373506	\N	\N
tt2353254	tt1066365	\N	\N
tt23549588	tt0405546	1	852
tt23574532	tt16764368	1	6
tt23637130	tt0245592	1	41
tt23650124	tt8638066	15	92
tt23650544	tt0847671	\N	\N
tt23651998	tt11416720	\N	\N
tt2368173	tt1595380	\N	\N
tt2369739	tt0374364	\N	\N
tt2370491	tt0383792	\N	\N
tt2372262	tt2079262	\N	\N
tt23725766	tt8826618	\N	\N
tt2373241	tt0318224	27	8
tt23746630	tt23722172	8	18
tt23747362	tt23722172	10	9
tt2376036	tt0286390	1	1
tt2377904	tt0240267	\N	\N
tt23780374	tt14198162	\N	\N
tt23783558	tt15079894	1	400
tt23788318	tt15906738	7	1
tt23830554	tt17055558	\N	\N
tt23844070	tt22393540	1	112
tt2386173	tt1820359	4	5
tt23897968	tt1456944	1	94
tt23942330	tt15289008	\N	\N
tt2398017	tt1177814	\N	\N
tt23980556	tt14266694	1	133
tt2402869	tt0403813	\N	\N
tt24099432	tt1058776	3	21
tt2413602	tt1877889	1	3
tt24163704	tt0245600	1	48
tt24183102	tt15263870	1	36
tt24245898	tt3778408	1	1
tt24252384	tt24251834	1	5
tt2458274	tt2171596	5	28
tt24656896	tt6769314	\N	\N
tt24657038	tt10375588	1	2
tt2471680	tt2457406	1	13
tt24759674	tt21903754	1	435
tt24856210	tt18595344	\N	\N
tt24918112	tt18329940	1	6
tt2492880	tt1814055	4	40
tt2495328	tt0189302	1	11
tt2507396	tt1880454	\N	\N
tt2511986	tt0904108	\N	\N
tt25147700	tt0090409	2	15
tt2527952	tt2061497	1	135
tt25387430	tt25386292	1	8
tt25388764	tt11349960	1	489
tt25395626	tt19403194	1	89
tt25397218	tt0456037	\N	\N
tt25401128	tt25398296	1	217
tt2541398	tt0401953	1	552
tt2547080	tt2336680	1	12
tt2556408	tt0329824	\N	\N
tt2564188	tt1039883	13	17
tt2565736	tt2304658	1	5
tt25729292	tt24060416	1	2
tt25807648	tt21410868	1	87
tt25808448	tt0209660	1	65
tt25808650	tt0395339	1	19
tt25811346	tt0044298	\N	\N
tt25909434	tt14820440	4	38
tt25970518	tt12855300	1	6
tt25970658	tt25968258	1	41
tt2600072	tt0773979	\N	\N
tt2608094	tt0831821	4	78
tt2608974	tt0270116	\N	\N
tt26251602	tt0299316	1	196
tt26275116	tt0269541	1	952
tt26346249	tt26344258	1	3
tt26346515	tt1067263	\N	\N
tt26350679	tt0183068	1	1190
tt26423365	tt0386165	1	209
tt26438687	tt12063450	2	14
tt26441321	tt0956279	1	183
tt26452235	tt9512120	1	26
tt2645588	tt1159833	\N	\N
tt2649032	tt0197153	\N	\N
tt26490582	tt26156398	1	10
tt26596404	tt13064558	3	3
tt26655726	tt12223866	1	6
tt26676115	tt13368492	4	135
tt26688693	tt8682874	5	164
tt26696543	tt2595702	4	6
tt26742956	tt1430047	12	8
tt26744561	tt0416380	23	1
tt26746660	tt5102458	1	38
tt26751155	tt5236696	2	110
tt26770079	tt7523066	15	8
tt26859873	tt0409628	\N	\N
tt26862868	tt0409628	\N	\N
tt26863524	tt22071720	1	5
tt26937843	tt0224891	1	31
tt26941926	tt23736536	1	1
tt2694744	tt1025970	\N	\N
tt27005067	tt2609822	1	2568
tt2702402	tt1826909	3	21
tt27034364	tt17765786	1	324
tt27041260	tt27011443	1	5
tt2708122	tt0397306	8	17
tt27112625	tt12618452	1	1775
tt2713026	tt1636331	\N	\N
tt27144305	tt0048860	1	2695
tt27165655	tt14690428	2	17
tt27173477	tt27172347	2	13
tt27206316	tt14576122	1	694
tt2724204	tt0374380	9	5
tt27282946	tt0338590	1	1849
tt27334318	tt0138228	87	56
tt27370209	tt27349433	1	3
tt27403717	tt27403523	1	13
tt27413383	tt0266180	1	35
tt27420788	tt0085049	1	815
tt27421528	tt0085049	1	1293
tt27434054	tt16590304	5	1117
tt27469817	tt8815210	\N	\N
tt27488487	tt12363714	1	10
tt27511304	tt27501604	1	2
tt27511510	tt1738562	32	2
tt27518585	tt27510295	1	2
tt27541588	tt0108743	1	84
tt27550171	tt15520234	1	2
tt27550229	tt15094926	1	23
tt27552860	tt0386929	14	90
tt27562426	tt14974598	6	4
tt27563534	tt3827800	1	5917
tt27568118	tt19315934	2	26
tt27572243	tt17752304	1	352
tt27572341	tt17752304	1	420
tt2757668	tt0372056	\N	\N
tt27587540	tt0459156	\N	\N
tt27626982	tt11274898	\N	\N
tt27641633	tt10223780	12	2
tt27662979	tt22506400	1	3
tt27680063	tt27335042	1	5
tt27680239	tt7805494	4	44
tt27688315	tt25406466	1	124
tt27705125	tt0193684	\N	\N
tt27720498	tt15906736	\N	\N
tt27739086	tt0815041	7	15
tt27739984	tt26457524	\N	\N
tt27742799	tt0285751	\N	\N
tt27745059	tt27742786	1	3
tt27775098	tt27497540	1	5
tt27818314	tt2243101	\N	\N
tt27868170	tt27809007	1	6
tt27901652	tt0870872	2	30
tt27909058	tt0054560	2	89
tt27909887	tt0870872	8	30
tt27911665	tt13352178	7	1
tt27921838	tt11680710	\N	\N
tt27932768	tt6344082	6	8
tt27965550	tt1933766	11	7
tt27997635	tt2399993	1	99
tt27998972	tt27998911	1	1
tt28029474	tt28029089	1	4
tt2806564	tt2628146	4	7
tt28066618	tt7174206	3	1
tt28077688	tt0044265	1	1817
tt28085432	tt11896286	\N	\N
tt28143783	tt0209786	1	14
tt2816810	tt2802990	1	9
tt2817722	tt1920199	1	84
tt2819058	tt2808348	1	8
tt28213816	tt0205693	1	28
tt28226425	tt28147047	1	4
tt28245466	tt0255752	1	516
tt28250897	tt0044265	1	6780
tt28254146	tt27858090	\N	\N
tt28267686	tt0333023	1	6
tt28288014	tt28258313	1	3
tt28288709	tt28284815	1	7
tt28291082	tt12612774	1	939
tt28292985	tt28222660	1	21
tt2830552	tt2806156	\N	\N
tt28309120	tt6938018	15	2
tt28355729	tt4223650	\N	\N
tt28357154	tt9125054	1	65
tt28368326	tt2057880	20	120
tt28373101	tt17780002	1	260
tt2839690	tt2832352	\N	\N
tt28405544	tt0123338	55	45
tt28471554	tt28450861	1	3
tt28501817	tt0057802	1	101
tt28506703	tt28493859	1	4
tt28516202	tt6906970	\N	\N
tt28522708	tt0294228	1	660
tt28542877	tt10987534	3	7
tt28544897	tt0300803	1	31
tt2855346	tt0386198	9	4
tt2857502	tt2813676	1	4
tt28586778	tt0286393	\N	\N
tt28609502	tt0480316	\N	\N
tt28610919	tt0162076	26	136
tt28620858	tt0821873	11	8
tt28626063	tt0162076	27	40
tt28656076	tt0209609	1	93
tt28668497	tt12664886	1	748
tt2868618	tt1119642	1	561
tt28694966	tt6182664	1	325
tt28696456	tt4539262	\N	\N
tt28701650	tt0407438	1	33
tt28709770	tt1123568	2	13
tt28712688	tt28699095	\N	\N
tt28717413	tt0185103	31	40
tt28719122	tt28702406	1	532
tt28756117	tt28755824	1	4
tt2876012	tt0052459	1	9
tt28769614	tt14562800	\N	\N
tt28775760	tt11492866	\N	\N
tt28777728	tt13593748	1	655
tt28806153	tt27522177	1	20
tt28806793	tt0407436	1	65
tt28807061	tt28797772	1	5
tt28807713	tt27744901	2	3
tt28815127	tt2575614	23	298
tt2890846	tt0158427	\N	\N
tt2895114	tt2888980	\N	\N
tt2897878	tt0420472	\N	\N
tt29007064	tt28786421	1	19
tt2901586	tt2720144	1	12
tt2904026	tt0320913	\N	\N
tt29043527	tt2111748	\N	\N
tt29078395	tt8927406	32	33
tt29116329	tt0380138	1	832
tt2919308	tt2274282	1	8
tt29195137	tt6769314	\N	\N
tt2924058	tt1725143	9	2
tt2925784	tt0050030	3	116
tt29261578	tt28685607	2	90
tt29273800	tt29079494	1	5795
tt29301721	tt29298156	1	231
tt29308136	tt29079494	1	7186
tt29311476	tt28070656	1	5
tt29312677	tt0224903	1	43
tt29336793	tt29079621	1	1389
tt29363401	tt0369117	240	7
tt2942780	tt2927648	1	2
tt29431479	tt1488698	\N	\N
tt2943726	tt2773042	3	4
tt29456467	tt29454560	\N	\N
tt29475258	tt0465852	\N	\N
tt29485020	tt12978302	3	1
tt29514888	tt29514265	1	16
tt29516035	tt29515893	1	14
tt29519113	tt12547184	2	18
tt29552366	tt29266787	\N	\N
tt29567045	tt9694960	1	88
tt29568789	tt4192812	6	3
tt2957946	tt2939546	1	3
tt29593950	tt0096597	34	56
tt29593954	tt0096597	34	59
tt2959742	tt1394151	6	36
tt29621014	tt0250846	1	293
tt29667135	tt25274258	1	188
tt29720247	tt24580466	\N	\N
tt29724688	tt21233210	1	107
tt29729368	tt5903250	9	8
tt29798940	tt29053466	1	6
tt29869234	tt9589494	2	39
tt29927050	tt26689697	2	28
tt29942703	tt27095392	2	94
tt29958691	tt11660930	1	37
tt29965126	tt29960043	1	129
tt29978359	tt25420942	\N	\N
tt2997892	tt2841688	2	6
tt3000682	tt2980176	1	1
tt3003442	tt0165001	\N	\N
tt30056087	tt21989170	\N	\N
tt30058947	tt0271280	15	39
tt3007470	tt2287229	2	6
tt30087795	tt26448339	6	14
tt30136754	tt30056685	2	3
tt30151855	tt30151008	1	17
tt3015954	tt2764882	1	54
tt30179162	tt11871384	5	98
tt30179932	tt20234932	1	244
tt30193174	tt30146400	1	26
tt30222028	tt11554102	\N	\N
tt30224942	tt30220114	3	3
tt30262127	tt30254746	1	493
tt30268174	tt1025770	\N	\N
tt30274066	tt29593484	1	14
tt30276589	tt30254746	1	6144
tt30278414	tt30254710	1	442
tt30278528	tt30254710	1	538
tt30278638	tt30254710	1	628
tt30280925	tt30254710	1	2240
tt30291226	tt17073874	1	631
tt3031076	tt1812443	1	15
tt30398719	tt30396663	1	47
tt30400256	tt4855620	\N	\N
tt30414838	tt1025770	\N	\N
tt30420099	tt30224310	1	1
tt30426211	tt29888335	1	149
tt30458721	tt0161164	1	86
tt30459726	tt0236919	2	10
tt30475652	tt28699095	\N	\N
tt30477759	tt0185065	\N	\N
tt3048748	tt3037756	\N	\N
tt30579434	tt29705901	1	276
tt30580656	tt30580602	1	1
tt30607910	tt1325046	\N	\N
tt30627835	tt14137954	4	104
tt30631410	tt28685607	11	94
tt30758813	tt27930291	1	110
tt30760667	tt30760093	\N	\N
tt3076732	tt2313114	2	4
tt30789660	tt7813258	2	20
tt30803167	tt10800096	1	47
tt30805861	tt29141120	1	6
tt30809834	tt7813258	1	56
tt30826149	tt22460828	1	18
tt30835282	tt30816013	1	8
tt30835411	tt26224444	2	7
tt3085020	tt2745946	1	17
tt30869520	tt27974096	1	1
tt30949339	tt12104474	1	5
tt30968578	tt23634238	1	9
tt30984134	tt30970909	1	4
tt30985224	tt29402016	1	3
tt30985389	tt0103434	1	7946
tt30997053	tt30989205	1	1
tt31023335	tt31022730	1	2
tt31033357	tt7657494	8	7
tt31049392	tt0243730	\N	\N
tt31066015	tt9662962	\N	\N
tt31067409	tt31029075	2	12
tt3108044	tt0184090	\N	\N
tt31185079	tt31173736	1	3
tt31187088	tt0175383	1	3522
tt3121688	tt1848013	\N	\N
tt31242526	tt31235905	1	17
tt3140672	tt3123978	\N	\N
tt31411285	tt31398701	1	133
tt31416381	tt7009290	1	76
tt31458419	tt9140632	4	5
tt3153664	tt2828696	1	16
tt31578990	tt17915774	1	180
tt31592541	tt7552858	5	42
tt31597279	tt4449470	7	2
tt31608471	tt8135220	16	46
tt31638472	tt31638435	1	3
tt31650808	tt31593180	2	9
tt3169312	tt2823212	\N	\N
tt3175922	tt3153698	1	11
tt3183770	tt0222648	\N	\N
tt31848171	tt30632873	1	219
tt31913864	tt5646304	1	2570
tt31937027	tt31849557	\N	\N
tt31937615	tt1488698	\N	\N
tt31946041	tt0820392	16	25
tt31959261	tt13121036	2	23
tt31971848	tt3981836	\N	\N
tt31973925	tt31956936	1	18
tt32027623	tt10066632	3	54
tt32028679	tt0815041	9	49
tt32033707	tt7917804	3	55
tt3205734	tt0386255	\N	\N
tt32103933	tt31632669	\N	\N
tt32126191	tt15375572	7	14
tt32126831	tt0096597	34	157
tt32142526	tt0143024	1	16
tt32163702	tt16280720	\N	\N
tt32205675	tt32199564	3	5
tt32207210	tt28221381	1	29
tt32212860	tt2405826	\N	\N
tt32218266	tt25274258	1	359
tt32226260	tt29694831	1	79
tt32270184	tt2632434	19	14
tt32278021	tt21982376	1	515
tt3229072	tt0096537	\N	\N
tt32342275	tt32341707	1	126
tt32348032	tt4563516	1	9
tt32395071	tt27238424	1	20
tt32400400	tt20754108	\N	\N
tt32441117	tt22816816	1	517
tt3247052	tt3238990	\N	\N
tt32475923	tt32474463	3	5
tt32476689	tt11524398	3	16
tt32502132	tt32482505	1	439
tt3250478	tt3242800	1	3
tt32535654	tt6764378	5	28
tt32538663	tt32482505	2	204
tt3255090	tt3242594	\N	\N
tt3255748	tt2275071	2	5
tt32575278	tt32482505	3	1
tt32599452	tt31078776	5	21
tt32622314	tt32607480	4	3
tt32649653	tt32646694	1	858
tt32658783	tt31866770	1	177
tt32676013	tt32188757	1	2620
tt3272770	tt3250706	6	185
tt32728437	tt23398668	1	21
tt32728685	tt32677145	1	63
tt32731303	tt32221619	1	2
tt32740065	tt4699178	11	14
tt32751102	tt17013904	1	5121
tt3276536	tt3250586	1	4
tt32778036	tt32316541	1	33
tt32780078	tt32605469	1	12
tt32812492	tt32748940	1	3183
tt3283246	tt1521864	2	15
tt32858185	tt1988246	8	49
tt32875420	tt32126695	\N	\N
tt32892999	tt6854902	\N	\N
tt32898156	tt16733738	4	7
tt32915231	tt14338322	8	1
tt32919696	tt32231220	1	45
tt33001661	tt32810143	1	9
tt33038843	tt29335235	4	21
tt33045060	tt29622673	1	11
tt33051588	tt30254746	1	9730
tt33053331	tt30254746	1	10141
tt3305984	tt3273280	\N	\N
tt33064743	tt32482007	1	6
tt3306614	tt3273280	\N	\N
tt33068273	tt0068069	1	3056
tt33073644	tt33062164	1	1074
tt33091653	tt1559904	2	3
tt33094225	tt23858980	2	9
tt33143149	tt0302203	\N	\N
tt3315872	tt2911882	2	1
tt33165323	tt33164849	8	2
tt33184109	tt31400611	1	29
tt3318676	tt3244332	\N	\N
tt33202875	tt0198226	1	549
tt3322222	tt0380136	11	10
tt33241431	tt14403160	5	2
tt33253866	tt0054583	1	163
tt33269181	tt0072506	50	175
tt33292379	tt12164342	15	67
tt33294552	tt33291404	1	4
tt33306653	tt0395868	\N	\N
tt33311549	tt0313080	1	253
tt33320598	tt1572006	\N	\N
tt33333638	tt0198171	1	87
tt33336236	tt33311756	1	7
tt33347333	tt10975964	\N	\N
tt33354297	tt2291985	\N	\N
tt3335910	tt2263743	1	6
tt33394129	tt33384753	1	120
tt33399135	tt33377640	1	1553
tt3340450	tt3326238	1	6
tt33465465	tt0413578	2	1
tt33476275	tt16492730	3	9
tt3431942	tt0462106	\N	\N
tt3443404	tt0244912	33	20
tt3448034	tt3204608	2	6
tt3487106	tt0780429	\N	\N
tt3494636	tt0484516	12	1
tt3495802	tt1981538	2	5
tt3496210	tt3483736	4	6
tt3498134	tt2983896	1	168
tt3509008	tt0499383	9	10
tt3511066	tt3503496	1	1
tt3534138	tt2929232	1	1
tt3541462	tt0199184	10	1
tt3550470	tt3103298	\N	\N
tt3571090	tt2119027	2	5
tt3592616	tt3576508	1	9
tt3598268	tt0356286	\N	\N
tt3603506	tt1825254	2	1
tt3613072	tt1983712	2	14
tt3618266	tt3602134	1	2
tt3618386	tt0386938	1	10
tt3618784	tt3612614	1	19
tt3625460	tt2726086	1	18
tt3643008	tt1166709	11	1
tt3676902	tt0185065	\N	\N
tt3724016	tt3691726	1	73
tt3742310	tt0364157	\N	\N
tt3757024	tt2956164	3	15
tt3763700	tt3405564	1	9
tt3767922	tt1585899	1	45
tt3781964	tt1844624	4	13
tt3781990	tt1358522	6	3
tt3784382	tt2367359	1	3
tt3796098	tt2856378	1	61
tt3823946	tt0106052	8	130
tt3836086	tt0463827	13	3
tt3845404	tt0818467	\N	\N
tt3849388	tt1293316	1	1
tt3850616	tt3627680	1	7
tt3857366	tt3597028	1	11
tt3872406	tt3857822	1	26
tt3881000	tt1350642	\N	\N
tt3884502	tt0044265	1	6489
tt3894684	tt3689776	1	6
tt3900378	tt3885720	1	33
tt3919496	tt1280627	\N	\N
tt3925728	tt1985601	1	342
tt3929186	tt1985601	1	2069
tt3938244	tt1985601	1	7095
tt3941852	tt1985601	1	9399
tt3952980	tt1152651	8	7
tt3956264	tt2263799	2	5
tt3962506	tt1741646	1	35
tt3965498	tt1360087	1	1148
tt3969718	tt3319130	2	8
tt3982168	tt3742982	1	9
tt3988790	tt2823260	1	786
tt3991614	tt2827836	1	15
tt3995398	tt1371000	\N	\N
tt3998822	tt3575570	1	136
tt4007578	tt3780132	1	7
tt4009076	tt5494602	1	133
tt4013658	tt1402943	2	36
tt4013782	tt1402943	3	7
tt4013926	tt1402943	4	14
tt4031594	tt4020982	1	174
tt4041376	tt4028442	3	8
tt4043628	tt0294140	\N	\N
tt4049728	tt0211820	\N	\N
tt4065164	tt0241383	16	108
tt4089180	tt3840030	1	635
tt4095514	tt0383792	\N	\N
tt4097296	tt3763752	4	2
tt4106698	tt3650678	\N	\N
tt4111004	tt3633454	1	21
tt4134910	tt1528406	3	108
tt4138682	tt0818818	29	29
tt4153986	tt0424586	\N	\N
tt4163512	tt2810310	\N	\N
tt4170500	tt0139803	35	2
tt4172652	tt0407423	31	90
tt4175544	tt3893314	1	4
tt4200660	tt2416806	\N	\N
tt4209218	tt0844792	1	5
tt4220792	tt0056752	1	1383
tt4244740	tt2273316	3	3
tt4268456	tt0889154	1	79
tt4270916	tt0329890	1	14
tt4273980	tt0055688	4	123
tt4293192	tt0451479	1	69
tt4310110	tt0185819	1	2750
tt4316526	tt0840073	\N	\N
tt4330994	tt0057731	1	1375
tt4369030	tt0364876	\N	\N
tt4376414	tt0270764	21	156
tt4378758	tt4211484	\N	\N
tt4404048	tt0096547	\N	\N
tt4413286	tt0057731	1	4174
tt4458510	tt4346362	1	28
tt4461510	tt2234701	\N	\N
tt4492628	tt0162076	9	18
tt4506300	tt0249325	1	21
tt4523914	tt4438250	1	20
tt4525268	tt0439389	1	71
tt4536426	tt0106053	22	111
tt4562194	tt4403914	15	6
tt4565818	tt0465809	14	14
tt4581964	tt3852622	1	19
tt4585366	tt4479780	6	5
tt4640076	tt4628852	1	316
tt4645874	tt4628832	8	1
tt4647588	tt0827947	9	157
tt4652824	tt1740718	5	163
tt4657746	tt4628746	1	23
tt4674526	tt0420364	1	30
tt4678198	tt4662892	1	128
tt4698992	tt4073314	1	89
tt4724248	tt4387082	\N	\N
tt4725674	tt3901950	1	66
tt4729818	tt1112587	8	58
tt4740328	tt2300165	1	16
tt4745720	tt2397255	3	19
tt4749162	tt0387783	6	61
tt4757196	tt4741480	1	11
tt4761500	tt4357332	1	13
tt4782448	tt4763314	1	3
tt4783216	tt3905708	1	7
tt4784154	tt4760506	1	73
tt4788396	tt4709678	1	547
tt4798824	tt2509326	\N	\N
tt4804206	tt4792582	1	26
tt4805560	tt3329542	1	305
tt4835556	tt4777744	2	11
tt4861506	tt4851698	1	11
tt4870750	tt3776548	\N	\N
tt4874290	tt4865638	1	1
tt4877966	tt0096597	13	24
tt4887116	tt4181892	3	10
tt4887868	tt1685484	3	4
tt4890330	tt0344647	\N	\N
tt4926448	tt0419321	\N	\N
tt4935840	tt3776548	\N	\N
tt4953936	tt4926002	1	31
tt4977700	tt4958580	1	7
tt4982498	tt0783392	\N	\N
tt4985864	tt4927396	1	7
tt4986340	tt0887237	\N	\N
tt4998530	tt2191567	4	6
tt4998854	tt0062571	1	17
tt5003270	tt5000804	1	5
tt5018674	tt5006482	1	7
tt5032804	tt4261786	1	4
tt5042516	tt1575843	\N	\N
tt5057630	tt0063951	5	49
tt5077764	tt4356344	1	0
tt5080768	tt3347284	2	9
tt5091578	tt5028898	1	20
tt5103082	tt1224144	1	143
tt5103250	tt0407358	\N	\N
tt5104180	tt6854902	\N	\N
tt5109132	tt0140733	3	113
tt5110626	tt0057731	1	713
tt5138402	tt1517109	7	30
tt5146982	tt2230761	3	1
tt5165334	tt11335442	\N	\N
tt5182084	tt2741602	3	17
tt5191602	tt3237468	2	4
tt5193874	tt0391664	21	1
tt5201562	tt0315704	\N	\N
tt5225070	tt0211890	1	635
tt5226636	tt5098450	1	2
tt5265620	tt5143438	1	8
tt5275992	tt4304908	1	74
tt5288670	tt1926733	6	27
tt5291870	tt0388631	1	4
tt5309480	tt0247094	\N	\N
tt5316184	tt5094726	1	9
tt5317654	tt4934674	\N	\N
tt5323506	tt4611894	1	9
tt5336490	tt4696338	1	171
tt5401846	tt0283794	1	1319
tt5404896	tt0283794	1	2792
